pitch_type,game_date,release_speed,player_name,batter,pitcher,events,description,zone,game_type,stand,p_throws,home_team,away_team,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,estimated_woba_using_speedangle,woba_value,woba_denom,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,home_score_diff,bat_score_diff,home_win_exp
SI,2025-03-27,100.9,"Alvarado, José",657557,621237,,swinging_strike,1,R,R,L,WSH,PHI,,3,1,0.87,1.43,-0.6765696937738861,3.1980669637653714,,,,1,9,Bot,,,,,,102,2198,7,778555,,,,68,5,3,3,3,3,3,3,3,3,159,-0.013,-0.087,69.7,5.5,0,0,0.603
FF,2025-03-29,100.9,"Duran, Jhoan",687363,661395,,ball,11,R,L,R,STL,MIN,,0,0,-1.04,0.7,-0.6447517729165763,3.640623077948982,,,,0,8,Bot,,,,,,100.3,1961,6.1,778528,,,,62,1,4,1,4,1,1,4,4,1,237,0.001,0.041,,,3,3,0.972
SI,2025-03-29,100.9,"Martinez, Justin",542932,679885,,ball,13,R,R,R,AZ,CHC,,0,0,-1.35,0.35,-2.393077912714416,2.5814981368196652,,,,2,9,Top,,,,,,100.3,1972,6.1,778532,,,,67,1,1,4,4,1,4,1,4,1,230,0,0.037,,,-3,3,0.041
SI,2025-03-31,100.7,"Alvarado, José",592178,621237,,ball,12,R,R,L,PHI,COL,,0,1,1.36,0.76,0.01961527584594225,3.7183027328213605,,,,2,8,Top,,,,,,101.3,2111,7,778502,,,,61,2,4,1,1,4,1,4,1,4,150,-0.001,0.027,,,3,-3,0.967
FF,2025-03-27,100.7,"Greene, Hunter",808982,668881,,foul,8,R,L,R,CIN,SF,,0,1,-1,1.42,0.03404705263489949,1.9810751971553544,,,,2,1,Top,,,188,75.6,20,101.2,2552,6.6,778561,,,,3,2,0,0,0,0,0,0,0,0,215,0.002,-0.057,75.1,7.8,0,0,0.54
FF,2025-03-29,100.7,"Duran, Jhoan",687363,661395,single,hit_into_play,1,R,L,R,STL,MIN,ground_ball,2,1,-1.1,0.74,-0.2817131667697972,2.7735200473439092,,,,0,8,Bot,126.04,192.36,1,36.2,-71,100.6,2000,6.3,778528,0.228,0.9,1,62,4,4,1,4,1,1,4,4,1,234,0.004,0.054,7.4,1.4,3,3,0.973
FF,2025-03-27,100.7,"Greene, Hunter",642715,668881,,ball,11,R,R,R,CIN,SF,,0,0,-0.81,1.41,-0.08373936636040136,3.7388678124649215,,,,1,1,Top,,,,,,100.3,2537,6.3,778561,,,,2,1,0,0,0,0,0,0,0,0,208,-0.002,0.039,,,0,0,0.522
FF,2025-03-30,100.7,"Martinez, Justin",663538,679885,single,hit_into_play,11,R,R,R,AZ,CHC,ground_ball,0,2,-1.03,1.18,-0.3871372314640895,3.9472647012666933,,,621020,2,8,Top,157.44,150.19,76,73.8,4,99.8,2277,6,778515,0.204,0.9,1,67,4,2,6,6,2,6,2,6,2,230,-0.005,0.443,57.4,5.3,-4,4,0.042
FF,2025-03-29,100.7,"Duran, Jhoan",691026,661395,,foul,3,R,R,R,STL,MIN,,2,2,-1.12,0.55,0.6664149068433556,3.0972736795849194,,687363,,0,8,Bot,,,,,,100.4,1915,6.2,778528,,,,63,6,4,1,4,1,1,4,4,1,239,0,0,61.0,6.0,3,3,0.98
FF,2025-03-28,100.6,"Montgomery, Mason",696100,682254,field_out,hit_into_play,8,R,R,L,TB,COL,fly_ball,0,2,0.39,1.7,-0.2387230903524788,1.7640272237385077,,,641857,2,8,Top,136.44,46.12,378,106,25,102.1,2482,6.9,778560,1.5645781250000006,0,1,61,4,2,2,2,2,2,2,2,2,163,0.031,-0.173,78.2,6.9,0,0,0.577
